target,hgnc_id
RPS6KA6,HGNC:10435
RPS6KB1,HGNC:10436
RPS6KC1,HGNC:10439
RPSA,HGNC:6502
RRM1,HGNC:10451
RRM2,HGNC:10452
RXRA,HGNC:10477
RXRB,HGNC:10478
RXRG,HGNC:10479
RYR1,HGNC:10483
S100A13,HGNC:10490
S100B,HGNC:10500
S100P,HGNC:10504
SAT1,HGNC:10540
SCARB1,HGNC:1664
SCN10A,HGNC:10582
SCN1A,HGNC:10585
SCN2A,HGNC:10588
SCN4A,HGNC:10591
SCN5A,HGNC:10593
SCN8A,HGNC:10596
SCN9A,HGNC:10597
SCNN1D,HGNC:10601
SCTR,HGNC:10608
SCYL2,HGNC:19286
SCYL3,HGNC:19285
SDHA,HGNC:10680
SDHC,HGNC:10682
SEC14L2,HGNC:10699
SELP,HGNC:10721
SERPINA1,HGNC:8941
SERPINA5,HGNC:8723
SERPINC1,HGNC:775
SERPIND1,HGNC:4838
SERPINE1,HGNC:8583
SERPINF2,HGNC:9075
SERPING1,HGNC:1228
SGK1,HGNC:10810
SGK2,HGNC:13900
SGK3,HGNC:10812
SHMT1,HGNC:10850
SI,HGNC:10856
SIGLEC7,HGNC:10876
SIK2,HGNC:21680
SIK3,HGNC:29165
SIRT1,HGNC:14929
SIRT5,HGNC:14933
SLAMF7,HGNC:21394
SLC12A1,HGNC:10910
SLC12A3,HGNC:10912
SLC12A4,HGNC:10913
SLC15A1,HGNC:10920
SLC15A2,HGNC:10921
SLC18A2,HGNC:10935
SLC1A4,HGNC:10942
SLC22A11,HGNC:18120
SLC25A4,HGNC:10990
SLC25A5,HGNC:10991
SLC25A6,HGNC:10992
SLC2A2,HGNC:11006
SLC3A1,HGNC:11025
SLC5A6,HGNC:11041
SLC6A1,HGNC:11042
SLC6A2,HGNC:11048
SLC6A3,HGNC:11049
SLC6A4,HGNC:11050
SLC7A11,HGNC:11059
SLC9A1,HGNC:11071
SLCO1B1,HGNC:10959
SLCO2B1,HGNC:10962
SLK,HGNC:11088
SMC2,HGNC:14011
SMPD1,HGNC:11120
SNAP25,HGNC:11132
SNRNP200,HGNC:30859
SNRPA,HGNC:11151
SOD1,HGNC:11179
SORD,HGNC:11184
SPEG,HGNC:16901
SPR,HGNC:11257
SQLE,HGNC:11279
SRC,HGNC:11283
SRD5A1,HGNC:11284
SRMS,HGNC:11298
SRPK1,HGNC:11305
SRPK2,HGNC:11306
SSTR2,HGNC:11331
SSTR5,HGNC:11334
STK10,HGNC:11388
STK11,HGNC:11389
STK16,HGNC:11394
STK17B,HGNC:11396
STK24,HGNC:11403
STK25,HGNC:11404
STK26,HGNC:18174
STK3,HGNC:11406
STK35,HGNC:16254
STK38,HGNC:17847
STK38L,HGNC:17848
STK4,HGNC:11408
STRADB,HGNC:13205
STS,HGNC:11425
STYK1,HGNC:18889
SULT1A1,HGNC:11453
SULT1B1,HGNC:17845
SULT1E1,HGNC:11377
SULT2A1,HGNC:11458
SULT2B1,HGNC:11459
SUOX,HGNC:11460
SYK,HGNC:11491
SYT2,HGNC:11510
SYTL4,HGNC:15588
TAAR1,HGNC:17734
TACR1,HGNC:11526
TACR3,HGNC:11528
TAOK1,HGNC:29259
TAOK2,HGNC:16835
TAOK3,HGNC:18133
TARS2,HGNC:30740
TAS1R2,HGNC:14905
TAT,HGNC:11573
TBK1,HGNC:11584
TBXAS1,HGNC:11609
TEC,HGNC:11719
TEK,HGNC:11724
TERT,HGNC:11730
TESK1,HGNC:11731
TESK2,HGNC:11732
TEX14,HGNC:11737
TGFB1,HGNC:11766
TGFBR1,HGNC:11772
TGFBR2,HGNC:11773
TGM3,HGNC:11779
TH,HGNC:11782
THRA,HGNC:11796
THRB,HGNC:11799
TIE1,HGNC:11809
TIMP3,HGNC:11822
TK1,HGNC:11830
TLR2,HGNC:11848
TLR4,HGNC:11850
TLR7,HGNC:15631
TLR8,HGNC:15632
TLR9,HGNC:15633
TMLHE,HGNC:18308
TNF,HGNC:11892
TNFRSF10B,HGNC:11905
TNFRSF1A,HGNC:11916
TNFRSF8,HGNC:11923
TNFSF11,HGNC:11926
TNFSF13B,HGNC:11929
TNIK,HGNC:30765
TNK1,HGNC:11940
TNK2,HGNC:19297
TNNC1,HGNC:11943
TNNI3,HGNC:11947
TOP1,HGNC:11986
TOP1MT,HGNC:29787
TOP2A,HGNC:11989
TOP2B,HGNC:11990
TP53,HGNC:11998
TP53RK,HGNC:16197
TPH1,HGNC:12008
TPK1,HGNC:17358
TPO,HGNC:12015
TPSB2,HGNC:14120
TPTEP1,HGNC:43648
TRAPPC3,HGNC:19942
TRDMT1,HGNC:2977
TRIB2,HGNC:30809
TRIB3,HGNC:16228
TRIM13,HGNC:9976
TRIO,HGNC:12303
TRPM6,HGNC:17995
TRPM7,HGNC:17994
TRPV1,HGNC:12716
TSHR,HGNC:12373
TSPO,HGNC:1158
TTBK2,HGNC:19141
TTK,HGNC:12401
TUBA1A,HGNC:20766
TUBA1B,HGNC:18809
TUBA4A,HGNC:12407
TUBB,HGNC:20778
TUBB1,HGNC:16257
TUBB3,HGNC:20772
TUBB6,HGNC:20776
TXK,HGNC:12434
TXNRD1,HGNC:12437
TYK2,HGNC:12440
TYMS,HGNC:12441
TYR,HGNC:12442
TYRO3,HGNC:12446
UCK2,HGNC:12562
UGCG,HGNC:12524
ULK1,HGNC:12558
ULK2,HGNC:13480
ULK3,HGNC:19703
UPP1,HGNC:12576
UPP2,HGNC:23061
UQCRC1,HGNC:12585
UROD,HGNC:12591
VARS,HGNC:12651
VCAM1,HGNC:12663
VDAC3,HGNC:12674
VDR,HGNC:12679
VKORC1,HGNC:23663
VRK1,HGNC:12718
VRK2,HGNC:12719
VRK3,HGNC:18996
VTN,HGNC:12724
WARS,HGNC:12729
WAS,HGNC:12731
WEE1,HGNC:12761
WNK1,HGNC:14540
WNK4,HGNC:14544
XDH,HGNC:12805
XRCC4,HGNC:12831
YARS,HGNC:12840
YES1,HGNC:12841
ZAK,NA
ZAP70,HGNC:12858
ZFY,HGNC:12870
